Email,Spam
Win a free iPhone now! Click here to claim your prize,1
"Lowest prices guaranteed, buy today",1
Happy birthday! Wishing you a wonderful day,0
Urgent: Verify your account to avoid suspension,1
Your Amazon order has been shipped successfully,0
"Family trip planned for next holiday, excited!",0
"Lowest prices guaranteed, buy today",1
Your account has been credited with the refund,0
"Congratulations, you have been selected for a lottery!",1
"Get cheap loans with zero interest, apply today",1
"Meeting scheduled at 3 PM tomorrow, please confirm",0
Act now to secure your discount coupon,1
Earn money from home easily without investment,1
Happy birthday! Wishing you a wonderful day,0
Win a free iPhone now! Click here to claim your prize,1
Win a free iPhone now! Click here to claim your prize,1
Urgent: Verify your account to avoid suspension,1
Happy birthday! Wishing you a wonderful day,0
"Lowest prices guaranteed, buy today",1
Your account has been credited with the refund,0
"You are a lucky winner, claim your gift card now",1
Dinner at my place tonight? Bring dessert!,0
Let's catch up this weekend at the cafe,0
See you at the gym tomorrow morning,0
Win a free iPhone now! Click here to claim your prize,1
Don't forget the project deadline is next Monday,0
Win a free iPhone now! Click here to claim your prize,1
See you at the gym tomorrow morning,0
"Lowest prices guaranteed, buy today",1
Limited offer! Buy one get one free on all items,1
"Get cheap loans with zero interest, apply today",1
Your Amazon order has been shipped successfully,0
"Get cheap loans with zero interest, apply today",1
Let's catch up this weekend at the cafe,0
Your Amazon order has been shipped successfully,0
"Meeting scheduled at 3 PM tomorrow, please confirm",0
Don't forget the project deadline is next Monday,0
"You are a lucky winner, claim your gift card now",1
"You are a lucky winner, claim your gift card now",1
"Meeting scheduled at 3 PM tomorrow, please confirm",0
Can you send me the updated report by evening?,0
"Family trip planned for next holiday, excited!",0
"Meeting scheduled at 3 PM tomorrow, please confirm",0
Let's catch up this weekend at the cafe,0
Happy birthday! Wishing you a wonderful day,0
See you at the gym tomorrow morning,0
Urgent: Verify your account to avoid suspension,1
Urgent: Verify your account to avoid suspension,1
"Exclusive deal only for you, click to grab it",1
See you at the gym tomorrow morning,0
Can you send me the updated report by evening?,0
"Meeting scheduled at 3 PM tomorrow, please confirm",0
Your account has been credited with the refund,0
Urgent: Verify your account to avoid suspension,1
Act now to secure your discount coupon,1
"Exclusive deal only for you, click to grab it",1
Earn money from home easily without investment,1
"You are a lucky winner, claim your gift card now",1
Don't forget the project deadline is next Monday,0
Urgent: Verify your account to avoid suspension,1
"Exclusive deal only for you, click to grab it",1
"Family trip planned for next holiday, excited!",0
Don't forget the project deadline is next Monday,0
"Exclusive deal only for you, click to grab it",1
Let's catch up this weekend at the cafe,0
Dinner at my place tonight? Bring dessert!,0
Let's catch up this weekend at the cafe,0
"Congratulations, you have been selected for a lottery!",1
Let's catch up this weekend at the cafe,0
Your Amazon order has been shipped successfully,0
"You are a lucky winner, claim your gift card now",1
See you at the gym tomorrow morning,0
Your Amazon order has been shipped successfully,0
Don't forget the project deadline is next Monday,0
"Get cheap loans with zero interest, apply today",1
"Exclusive deal only for you, click to grab it",1
"Lowest prices guaranteed, buy today",1
Can you send me the updated report by evening?,0
Your account has been credited with the refund,0
Urgent: Verify your account to avoid suspension,1
Earn money from home easily without investment,1
Your account has been credited with the refund,0
Happy birthday! Wishing you a wonderful day,0
"Meeting scheduled at 3 PM tomorrow, please confirm",0
"Congratulations, you have been selected for a lottery!",1
"Family trip planned for next holiday, excited!",0
Happy birthday! Wishing you a wonderful day,0
"Meeting scheduled at 3 PM tomorrow, please confirm",0
"Get cheap loans with zero interest, apply today",1
Happy birthday! Wishing you a wonderful day,0
"Congratulations, you have been selected for a lottery!",1
"Get cheap loans with zero interest, apply today",1
"Congratulations, you have been selected for a lottery!",1
Can you send me the updated report by evening?,0
Your Amazon order has been shipped successfully,0
Dinner at my place tonight? Bring dessert!,0
Let's catch up this weekend at the cafe,0
Earn money from home easily without investment,1
Happy birthday! Wishing you a wonderful day,0
Your Amazon order has been shipped successfully,0
"Lowest prices guaranteed, buy today",1
Let's catch up this weekend at the cafe,0
Happy birthday! Wishing you a wonderful day,0
"Family trip planned for next holiday, excited!",0
Don't forget the project deadline is next Monday,0
"Family trip planned for next holiday, excited!",0
Win a free iPhone now! Click here to claim your prize,1
Dinner at my place tonight? Bring dessert!,0
Dinner at my place tonight? Bring dessert!,0
Win a free iPhone now! Click here to claim your prize,1
"Get cheap loans with zero interest, apply today",1
"Meeting scheduled at 3 PM tomorrow, please confirm",0
See you at the gym tomorrow morning,0
Earn money from home easily without investment,1
Earn money from home easily without investment,1
Happy birthday! Wishing you a wonderful day,0
"Get cheap loans with zero interest, apply today",1
Earn money from home easily without investment,1
Urgent: Verify your account to avoid suspension,1
Dinner at my place tonight? Bring dessert!,0
"Congratulations, you have been selected for a lottery!",1
"Get cheap loans with zero interest, apply today",1
Urgent: Verify your account to avoid suspension,1
Act now to secure your discount coupon,1
Urgent: Verify your account to avoid suspension,1
Can you send me the updated report by evening?,0
"Congratulations, you have been selected for a lottery!",1
"Lowest prices guaranteed, buy today",1
Dinner at my place tonight? Bring dessert!,0
Limited offer! Buy one get one free on all items,1
Let's catch up this weekend at the cafe,0
Happy birthday! Wishing you a wonderful day,0
"Exclusive deal only for you, click to grab it",1
Urgent: Verify your account to avoid suspension,1
Your Amazon order has been shipped successfully,0
"Lowest prices guaranteed, buy today",1
"Lowest prices guaranteed, buy today",1
Urgent: Verify your account to avoid suspension,1
"Exclusive deal only for you, click to grab it",1
Act now to secure your discount coupon,1
Earn money from home easily without investment,1
Urgent: Verify your account to avoid suspension,1
"Get cheap loans with zero interest, apply today",1
Happy birthday! Wishing you a wonderful day,0
Earn money from home easily without investment,1
Your account has been credited with the refund,0
Happy birthday! Wishing you a wonderful day,0
Don't forget the project deadline is next Monday,0
Let's catch up this weekend at the cafe,0
Happy birthday! Wishing you a wonderful day,0
Don't forget the project deadline is next Monday,0
Win a free iPhone now! Click here to claim your prize,1
"Lowest prices guaranteed, buy today",1
Happy birthday! Wishing you a wonderful day,0
Earn money from home easily without investment,1
"Congratulations, you have been selected for a lottery!",1
Happy birthday! Wishing you a wonderful day,0
"Get cheap loans with zero interest, apply today",1
Happy birthday! Wishing you a wonderful day,0
Can you send me the updated report by evening?,0
"Get cheap loans with zero interest, apply today",1
Limited offer! Buy one get one free on all items,1
"Meeting scheduled at 3 PM tomorrow, please confirm",0
"Exclusive deal only for you, click to grab it",1
Win a free iPhone now! Click here to claim your prize,1
"Congratulations, you have been selected for a lottery!",1
Your Amazon order has been shipped successfully,0
"You are a lucky winner, claim your gift card now",1
"Meeting scheduled at 3 PM tomorrow, please confirm",0
Can you send me the updated report by evening?,0
Don't forget the project deadline is next Monday,0
"Congratulations, you have been selected for a lottery!",1
Urgent: Verify your account to avoid suspension,1
"You are a lucky winner, claim your gift card now",1
"You are a lucky winner, claim your gift card now",1
Act now to secure your discount coupon,1
Your account has been credited with the refund,0
Earn money from home easily without investment,1
Happy birthday! Wishing you a wonderful day,0
Can you send me the updated report by evening?,0
Your Amazon order has been shipped successfully,0
Urgent: Verify your account to avoid suspension,1
"Congratulations, you have been selected for a lottery!",1
"Congratulations, you have been selected for a lottery!",1
"Family trip planned for next holiday, excited!",0
